Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
2 = Part B
3 = Part C
5 = Part D"
00897,WAI YUEN TONG,Equity,Equity Securities (Main Board),"5,000",HKD 0.0100,BMG9421Y2332,,Y,,Y,,,,Y,,,,Y,1
00898,MULTIFIELD INTL,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG6330R1271,,Y,,Y,,,,Y,,,,Y,1
00899,ASIA RESOURCES,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG0536F1775,,Y,,Y,,,,Y,,,,Y,1
00900,AEON CREDIT,Equity,Equity Securities (Main Board),"2,000",,HK0900002681,,Y,,Y,,,,Y,,,,Y,1
00901,EAGLERIDE INV,Equity,Investment Companies,"20,000",HKD 0.0125,KYG2902L1279,,Y,,Y,,,,Y,,,,Y,1
00902,HUANENG POWER,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000006Z4,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1
00904,CHINA GREEN,Equity,Equity Securities (Main Board),"8,000",HKD 0.2000,BMG211801235,,Y,,Y,,,,Y,,,,Y,1
00905,GLOBAL M CAP,Equity,Investment Companies,"16,000",HKD 0.0100,BMG3932X1231,,Y,,Y,,,,Y,,,,Y,1
00906,COFCO PACKAGING,Equity,Equity Securities (Main Board),"1,000",,HK0000057171,,Y,Y,Y,,,,Y,,,,Y,1
00907,ELEGANCEOPTICAL,Equity,Equity Securities (Main Board),"20,000",HKD 0.0100,BMG3000U1009,,Y,,Y,,,,Y,,,,Y,1
00908,ZHUHAI H INV,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG9895L1054,,Y,,Y,,,,Y,,,,Y,1
00909,MING YUAN CLOUD,Equity,Equity Securities (Main Board),"1,000",HKD 0.0001,KYG6142R1092,,Y,,Y,,,,Y,,,,Y,1
00910,CHINA SANDI,Equity,Equity Securities (Main Board),"6,000",HKD 0.0100,BMG2118U1018,,Y,,Y,,,,Y,,,,Y,1
00911,QIANHAI HEALTH,Equity,Equity Securities (Main Board),"5,000",HKD 0.0400,KYG7307F1046,,Y,,Y,,,,Y,,,,Y,1
00912,SUGA INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8550G1042,,Y,,Y,,,,Y,,,,Y,1
00913,UNITY INV HOLD,Equity,Investment Companies,"10,000",HKD 0.0010,KYG9285J4055,,Y,,Y,,,,Y,,,,Y,1
00914,CONCH CEMENT,Equity,Equity Securities (Main Board),500,RMB 1.0000,CNE1000001W2,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1
00915,DAOHE GLOBAL,Equity,Equity Securities (Main Board),"1,000",USD 0.01333,BMG2751X1314,,Y,,Y,,,,Y,,,,Y,1
00916,CHINA LONGYUAN,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE100000HD4,,Y,Y,Y,Y,,,Y,,,,Y,1
00918,STATE EN ASSETS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8508Q1050,,Y,,Y,,,,Y,,,,Y,1
00919,MODERNHEALTHTEC,Equity,Equity Securities (Main Board),"4,000",HKD 0.1000,KYG618101003,,Y,,Y,,,,Y,,,,Y,1
00921,HISENSE HA,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE100000353,,Y,Y,Y,,,,Y,,,,Y,1
00922,ANXIANYUAN CH,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,BMG0400Q1197,,Y,,Y,,,,Y,,,,Y,1
00923,IWS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG4812S1012,,Y,,Y,,,,Y,,,,Y,1
00924,KHOON GROUP,Equity,Equity Securities (Main Board),"8,000",HKD 0.0100,KYG5271A1013,,Y,,Y,,,,Y,,,,Y,1
00925,BJ PROPERTIES,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG1145H1097,,Y,,Y,,,,Y,,,,Y,1
00926,BESUNYEN,Equity,Equity Securities (Main Board),"1,000",USD 0.00001,KYG107051040,,Y,,Y,,,,Y,,,,Y,1
00927,FUJIKON IND,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG3685C1029,,Y,,Y,,,,Y,,,,Y,1
00928,LIFE HEALTHCARE,Equity,Equity Securities (Main Board),"20,000",HKD 0.0500,KYG5924H1231,,Y,,Y,,,,Y,,,,Y,1
00929,IPE GROUP,Equity,Equity Securities (Main Board),"5,000",HKD 0.1000,KYG4935G1091,,Y,,Y,,,,Y,,,,Y,1
